ignore,description
1-E08.321*,1-Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema
1-E08.329*,1-Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema
1-E08.331*,1-Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema
1-E08.339*,1-Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema
1-E08.341*,1-Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema
1-E08.349*,1-Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema
1-E08.351*,1-Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema
1-E08.352*,1-Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula
1-E08.353*,1-Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
1-E08.354*,1-Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
1-E08.355*,1-Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy
1-E08.359*,1-Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema
1-E08.37*,"1-Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment"
1-E09.321*,1-Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
1-E09.329*,1-Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
1-E09.331*,1-Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
1-E09.339*,1-Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
1-E09.341*,1-Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
1-E09.349*,1-Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
1-E09.351*,1-Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema
1-E09.352*,1-Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
1-E09.353*,1-Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
1-E09.354*,1-Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
1-E09.355*,1-Drug or chemical induced diabetes mellitus with stable proliferative diabetic retinopathy
1-E09.359*,1-Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema
1-E09.37*,"1-Drug or chemical induced diabetes mellitus with diabetic macular edema, resolved following treatment"
1-E10.321*,1-Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
1-E10.329*,1-Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
1-E10.331*,1-Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
1-E10.339*,1-Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
1-E10.341*,1-Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
1-E10.349*,1-Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
1-E10.351*,1-Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema
1-E10.352*,1-Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
1-E10.353*,1-Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
1-E10.354*,1-Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
1-E10.355*,1-Type 1 diabetes mellitus with stable proliferative diabetic retinopathy
1-E10.359*,1-Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema
1-E10.37*,"1-Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment"
1-E11.321*,1-Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
1-E11.329*,1-Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
1-E11.331*,1-Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
1-E11.339*,1-Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
1-E11.341*,1-Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
1-E11.349*,1-Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
1-E11.351*,1-Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema
1-E11.352*,1-Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
1-E11.353*,1-Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
1-E11.354*,1-Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
1-E11.355*,1-Type 2 diabetes mellitus with stable proliferative diabetic retinopathy
1-E11.359*,1-Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema
1-E11.37*,"1-Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment"
1-E13.321*,1-Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
1-E13.329*,1-Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
1-E13.331*,1-Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
1-E13.339*,1-Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
1-E13.341*,1-Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
1-E13.349*,1-Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
1-E13.351*,1-Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema
1-E13.352*,1-Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
1-E13.353*,1-Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
1-E13.354*,1-Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
1-E13.355*,1-Other specified diabetes mellitus with stable proliferative diabetic retinopathy
1-E13.359*,1-Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema
1-E13.37*,"1-Other specified diabetes mellitus with diabetic macular edema, resolved following treatment"
1-F10.12*,1-Alcohol abuse with intoxication
1-F10.13*,"1-Alcohol abuse, with withdrawal"
1-F10.15*,1-Alcohol abuse with alcohol-induced psychotic disorder
1-F10.22*,1-Alcohol dependence with intoxication
1-F10.23*,1-Alcohol dependence with withdrawal
1-F10.25*,1-Alcohol dependence with alcohol-induced psychotic disorder
1-F10.92*,"1-Alcohol use, unspecified with intoxication"
1-F10.93*,"1-Alcohol use, unspecified with withdrawal"
1-F10.95*,"1-Alcohol use, unspecified with alcohol-induced psychotic disorder"
1-F11.12*,1-Opioid abuse with intoxication
1-F11.15*,1-Opioid abuse with opioid-induced psychotic disorder
1-F11.22*,1-Opioid dependence with intoxication
1-F11.25*,1-Opioid dependence with opioid-induced psychotic disorder
1-F11.92*,"1-Opioid use, unspecified with intoxication"
1-F11.95*,"1-Opioid use, unspecified with opioid-induced psychotic disorder"
1-F12.12*,1-Cannabis abuse with intoxication
1-F12.15*,1-Cannabis abuse with psychotic disorder
1-F12.22*,1-Cannabis dependence with intoxication
1-F12.25*,1-Cannabis dependence with psychotic disorder
1-F12.92*,"1-Cannabis use, unspecified with intoxication"
1-F12.95*,"1-Cannabis use, unspecified with psychotic disorder"
1-F13.12*,"1-Sedative, hypnotic or anxiolytic abuse with intoxication"
1-F13.13*,"1-Sedative, hypnotic or anxiolytic abuse with withdrawal"
1-F13.15*,"1-Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder"
1-F13.22*,"1-Sedative, hypnotic or anxiolytic dependence with intoxication"
1-F13.23*,"1-Sedative, hypnotic or anxiolytic dependence with withdrawal"
1-F13.25*,"1-Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder"
1-F13.92*,"1-Sedative, hypnotic or anxiolytic use, unspecified with intoxication"
1-F13.93*,"1-Sedative, hypnotic or anxiolytic use, unspecified with withdrawal"
1-F13.95*,"1-Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder"
1-F14.12*,1-Cocaine abuse with intoxication
1-F14.15*,1-Cocaine abuse with cocaine-induced psychotic disorder
1-F14.22*,1-Cocaine dependence with intoxication
1-F14.25*,1-Cocaine dependence with cocaine-induced psychotic disorder
1-F14.92*,"1-Cocaine use, unspecified with intoxication"
1-F14.95*,"1-Cocaine use, unspecified with cocaine-induced psychotic disorder"
1-F15.12*,1-Other stimulant abuse with intoxication
1-F15.15*,1-Other stimulant abuse with stimulant-induced psychotic disorder
1-F15.22*,1-Other stimulant dependence with intoxication
1-F15.25*,1-Other stimulant dependence with stimulant-induced psychotic disorder
1-F15.92*,"1-Other stimulant use, unspecified with intoxication"
1-F15.95*,"1-Other stimulant use, unspecified with stimulant-induced psychotic disorder"
1-F16.12*,1-Hallucinogen abuse with intoxication
1-F16.15*,1-Hallucinogen abuse with hallucinogen-induced psychotic disorder
1-F16.22*,1-Hallucinogen dependence with intoxication
1-F16.25*,1-Hallucinogen dependence with hallucinogen-induced psychotic disorder
1-F16.92*,"1-Hallucinogen use, unspecified with intoxication"
1-F16.95*,"1-Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder"
1-F18.12*,1-Inhalant abuse with intoxication
1-F18.15*,1-Inhalant abuse with inhalant-induced psychotic disorder
1-F18.22*,1-Inhalant dependence with intoxication
1-F18.25*,1-Inhalant dependence with inhalant-induced psychotic disorder
1-F18.92*,"1-Inhalant use, unspecified with intoxication"
1-F18.95*,"1-Inhalant use, unspecified with inhalant-induced psychotic disorder"
